latitude,longitude
50.657095,13.904507
52.134914,12.561109
47.035784,13.966515
51.304119,9.619587
49.964300,13.592730
50.074932,10.556627
49.635925,12.931255
49.328848,8.565584
50.802453,11.144012
47.562341,10.227668
50.127741,8.570350
52.327865,9.960962
49.328848,8.565584
49.856369,7.709146
49.328848,8.565584
50.719411,7.456825
50.020726,12.536094
48.399655,12.758303
47.040062,11.616408
47.902870,6.668824
52.694695,8.255099
50.522439,14.042104
49.328847,8.565584
49.328847,8.565583
48.737635,7.901082
49.225545,11.170339
49.405127,6.409067
51.671044,10.714987
47.137828,13.296138
51.394076,9.420380
52.652682,7.035840
47.225011,9.229083
49.328848,8.565582
51.041982,13.711505
50.281550,7.946292
51.946468,11.839237
52.071956,7.006071
47.964271,11.494971
49.328848,8.565581
49.328848,8.565581
50.790882,8.452481
50.528228,9.920815
51.923293,7.228768
47.282354,10.699579
49.328848,8.565580
48.833879,9.514738
49.720533,6.428602
48.623040,6.771599
50.148217,13.655369
50.555475,11.763655
51.021763,9.573561
50.999164,6.647693
51.013190,8.930903
50.377891,12.521257
47.405118,12.263467
52.933146,9.622812
49.914378,6.042545
51.002874,7.986447
52.603320,13.053375
51.040558,10.098368
52.340905,11.326347
49.328848,8.565579
49.558981,6.853757
49.328848,8.565579
52.156403,8.737436
47.132054,11.171484
49.257967,11.469410
51.276216,8.662731
49.328848,8.565579
51.020293,11.830929
49.940880,13.071106
49.779721,10.280632
52.630948,12.195791
52.159995,10.297266
49.328848,8.565578
47.220376,13.407571
51.975001,9.718463
48.728707,12.530591
50.784024,6.278524
52.221650,7.347796
52.227998,9.084421
49.457130,10.425507
49.320569,9.258505
49.328155,14.482656
47.062542,9.143569
51.437289,9.621355
51.092984,13.081366
49.026062,13.730352
51.214507,6.821065
52.605887,13.848784
50.749611,8.075200
49.826895,11.244564
49.329310,8.565063
47.354010,12.846279
48.651870,11.366886
50.689061,9.885884
47.987220,14.163086
52.031435,14.576638
48.919952,12.939413
47.540038,6.211272
51.106648,11.999280
52.160989,9.567888
49.329544,8.564877
49.629581,6.342421
47.847799,10.362365
51.200082,11.798546
50.874529,10.310624
50.822079,12.548818
49.359409,7.909702
50.045097,7.473328
49.330171,8.564668
48.871181,12.719661
51.942839,12.278168
49.330614,8.565064
