latitude,longitude
52.593215,14.454589
50.630577,6.571556
50.331020,11.431910
52.005592,9.375627
49.391478,13.769261
47.257851,7.993634
51.344669,9.852085
51.004649,13.775746
50.269170,10.516547
47.594704,12.163384
47.294572,8.509327
49.328848,8.565584
52.979721,13.833209
51.985331,12.997936
52.640107,12.725747
47.908997,8.307577
47.658431,11.701950
49.011332,10.635224
47.120412,6.316263
50.809374,12.458296
50.021792,11.981055
49.517905,8.060669
48.038453,7.460114
51.667723,14.746896
47.293527,13.894952
47.076617,6.420136
52.334348,7.311556
50.297466,13.757906
47.676408,14.704052
49.002573,14.582554
49.328847,8.565583
50.275771,7.249559
50.821095,8.142934
51.410500,8.432285
49.328848,8.565582
49.328848,8.565582
50.626753,6.823996
50.783478,12.690832
50.452177,14.063640
52.473078,14.296175
50.435113,10.449255
49.328848,8.565581
47.719129,10.490420
49.328848,8.565580
51.362880,13.963062
49.328848,8.565580
52.732741,6.227021
49.278892,9.491870
52.764053,8.895245
48.384631,7.477055
49.328848,8.565580
52.061837,9.954291
49.699427,8.890114
49.328848,8.565580
49.345369,10.315600
50.144784,9.738481
48.188916,7.285512
49.328848,8.565579
50.668547,9.338039
48.514081,6.823026
47.209644,6.606477
50.892490,14.139988
52.970002,9.309339
47.098436,6.190245
48.074874,13.011322
49.328848,8.565579
52.134695,14.536025
49.328848,8.565579
50.464297,13.187476
47.192608,11.350885
49.328848,8.565579
49.328848,8.565579
47.028162,7.865660
50.000052,8.817482
52.780726,6.813532
49.328848,8.565562
47.729526,10.238295
49.328851,8.565464
49.328867,8.565454
47.434788,6.109294
49.587868,12.485766
49.328973,8.565381
49.328997,8.565360
49.289066,11.311870
47.240280,7.483466
49.329086,8.565290
49.448282,9.878231
52.649036,13.932987
49.329186,8.565197
51.365096,10.933670
51.457032,9.915437
50.679234,14.783718
51.277871,10.460017
47.939011,7.181344
48.003817,8.422664
47.106292,13.763067
49.329412,8.564982
52.623159,9.695244
51.288758,13.646958
52.179675,7.548050
48.557660,7.547094
48.838841,13.579847
47.502581,9.077094
49.329571,8.564859
47.843750,7.840630
52.709827,9.646888
50.569207,6.112903
50.629901,11.187322
51.344614,12.233975
48.039153,13.210718
47.731477,8.325442
52.881879,9.865144
49.330462,8.564804
50.636790,8.326787
