latitude,longitude
49.004915,10.940701
52.381762,7.395582
50.990603,13.834406
48.453574,6.548256
49.328849,8.565585
50.317156,13.063924
47.764714,14.136602
51.880969,9.639240
49.328848,8.565584
49.328848,8.565584
49.361024,7.429018
49.506081,11.018018
47.136624,8.002875
50.081345,12.224338
50.942720,8.785731
47.456545,12.042374
50.048317,7.715480
51.661307,13.266655
47.842372,12.265128
49.328847,8.565584
47.125872,10.208817
47.799291,11.169012
52.576238,7.823454
52.762187,9.238674
47.220639,12.962355
51.587554,6.675606
49.328847,8.565583
49.328847,8.565583
49.328847,8.565583
52.202249,10.066907
50.183935,14.370632
52.531920,6.439296
50.526086,9.195459
51.914168,12.949424
50.584336,8.260361
49.553467,9.471601
52.425062,10.763336
50.729842,10.685368
50.371818,11.133511
51.111763,8.548656
48.007306,14.125222
48.846907,14.941612
52.098660,12.993393
48.048064,9.821249
48.611047,6.446267
51.532010,10.475623
47.415136,14.510651
51.708213,13.301795
49.328848,8.565580
50.971064,6.728019
47.656721,13.613299
52.635987,9.848232
49.328848,8.565580
48.739084,13.193195
49.328848,8.565580
48.175721,11.664171
50.977082,13.479431
52.582390,6.991010
47.910433,12.245740
50.380439,14.769873
51.228900,13.723335
48.296630,7.151234
49.328848,8.565579
47.911256,14.640759
49.328848,8.565579
52.784996,14.457619
49.328848,8.565579
52.772444,9.403421
50.924221,8.515175
50.654672,14.751696
51.262241,12.602229
47.790366,6.956077
51.527003,11.628178
48.053545,11.147063
48.708357,12.067365
47.986992,13.743001
49.328846,8.565500
47.438575,10.424962
51.383737,6.986999
50.503880,13.391334
49.328943,8.565397
51.530684,12.019688
47.042278,12.382856
50.694391,6.864626
47.081087,13.109620
49.644670,13.272562
48.932714,10.602937
50.925270,9.888008
52.907722,6.041594
49.234987,10.579970
49.329245,8.565131
49.043969,11.822453
47.660393,7.596340
49.329339,8.565032
49.329370,8.565008
51.539908,13.018738
47.334447,10.163949
47.455579,8.711162
49.329456,8.564947
47.392679,14.356049
48.388369,7.744012
49.329519,8.564895
47.621621,7.473110
52.861746,9.009305
52.407334,6.878524
49.329647,8.564815
51.074980,13.805679
49.742433,9.664322
49.329933,8.564704
48.369361,8.087086
47.744375,7.208945
51.745522,13.929379
49.845793,6.029393
48.223029,12.438883
