latitude,longitude
49.328849,8.565584
49.328850,8.565586
49.328849,8.565585
49.328849,8.565585
48.061747,7.896232
48.073176,7.196317
50.717047,12.090948
51.353419,6.700672
49.243413,9.197771
49.442974,10.709154
48.844437,12.727081
51.159965,6.624348
51.635781,10.081332
50.904718,6.645235
52.223079,6.295944
49.328848,8.565584
52.859174,7.942238
50.761437,8.424083
51.208909,13.381886
51.169044,7.030394
49.328847,8.565584
49.328847,8.565583
51.148872,14.441177
52.696695,10.191679
52.517626,10.673097
49.328847,8.565583
52.467763,9.728102
52.861276,8.092282
47.878152,8.868550
49.328847,8.565583
50.519282,14.343253
49.328848,8.565582
51.263864,9.374561
49.328847,8.565582
51.935769,8.439783
52.621564,12.170336
49.877902,10.292982
49.328848,8.565582
48.616455,9.491752
49.404080,12.948152
52.434977,12.610643
50.135475,14.776184
52.898935,11.738314
51.213543,10.934070
48.659973,11.142434
51.551814,8.909711
48.238233,6.724287
49.328848,8.565580
47.117013,13.543084
49.328848,8.565580
48.972633,6.357226
50.898585,7.876912
47.025609,7.970336
52.239453,8.699826
49.267017,14.811767
49.328848,8.565579
49.328848,8.565580
50.176763,6.728864
49.328848,8.565579
48.102720,14.758305
49.328848,8.565579
48.553150,6.092863
51.980444,12.464943
48.552795,13.781062
47.361516,12.887990
47.734629,9.857097
49.029222,6.140856
48.450697,9.503547
48.359648,8.205136
49.328848,8.565579
49.304973,10.795508
48.247833,8.731742
49.328848,8.565579
49.328848,8.565578
52.197167,7.112619
48.180514,12.579755
47.879981,10.404755
50.286034,9.282432
50.817460,12.599354
48.623965,8.156985
52.639591,9.782337
48.129600,10.173322
50.446650,7.699089
52.160577,7.368307
50.884763,6.780038
47.247757,9.955454
49.329122,8.565262
49.402374,11.394151
50.073082,7.580587
51.462614,12.902942
52.378871,9.698091
47.648830,10.231561
50.973065,6.966913
47.904206,14.987349
51.629213,11.017255
49.329391,8.564993
47.146808,10.303872
48.456782,8.917734
49.973120,6.598520
49.329477,8.564928
48.398281,6.578685
50.757161,11.061183
49.232697,7.659261
51.269319,11.510159
49.329602,8.564839
51.487841,10.907843
49.237716,11.519504
49.329825,8.564729
51.072164,10.314788
48.286367,9.005234
52.580797,11.267557
49.330336,8.564780
52.725035,7.803436
49.508834,7.488684
